name,每股收益,同比%,当季环比%,每股净资产,同比%,当季环比%,主营收入,同比%,当季环比%,净利润,同比%,当季环比%,销售毛利率,同比%,当季环比%,总股本(万股),流通股本(万股),每股资本公积金,每股未分配利润,净资产收益率,price,
600519,28.64,20.74,136.22,159.94,4.59,-,695.76亿,20.76,-20.48,359.80亿,20.76,-26.97,0,-,-4.41,125619.78,125619.78,1.0945,129.9407,17.91%,1782,0.089753086
600520,0.04,-50,113.33,2.78,10.22,-,1.69亿,-23.77,7.57,683.14万,-44.81,61.11,0,-,3.17,15843,15843,2.5055,-0.8226,1.55%,22.28,0.124775583
600521,0.12,20,-,5.21,16.13,-,20.59亿,16.15,-15.19,1.73亿,25.59,-53.67,0,-,-9.87,148250.71,145461.31,0.9023,2.9786,2.24%,15.8,0.329746835
600522,0.23,-25.46,-,9.12,11.69,-,82.75亿,-10.92,-25.29,7.68亿,-24.36,3.29,0,-,9.85,341294.97,341294.97,3.2987,4.3037,2.47%,13.9,0.656115108
600523,0.08,0,-,7.06,0.22,-,4.82亿,-15.94,-16.1,3325.13万,-3.17,7.17,0,-,-4.52,40431.13,40404.46,2.1539,3.185,1.17%,13.24,0.533232628
600525,0.01,-66.3,-,3.85,49.83,-,17.92亿,17.32,-22.35,1583.26万,-66.26,-95.14,0,-,0.83,131492.52,130577.52,1.3501,1.3396,0.31%,5.27,0.730550285
600526,0.1,100,137.5,4.49,8.66,-,15.36亿,1.26,45.63,8287.66万,150.48,71.06,0,-,2.17,86394.31,71162.61,3.1948,0.2672,2.14%,4.78,0.939330544
600527,0,-50,-,1.36,-1.9,-,1.58亿,-17.26,-29.6,795.31万,-50.27,-67.58,0,-,16.78,173176.09,173176.09,0.0118,0.24,0.34%,1.97,0.69035533
600528,0.24,14.29,-,11.01,5.56,-,74.35亿,4.52,-12.38,5.25亿,4.24,34.9,0,-,-3.64,222155.16,222155.16,2.4291,5.9972,2.15%,7.89,1.395437262
600529,0.25,-3.85,-,10.74,32.42,-,12.37亿,18.66,3.17,1.67亿,8.69,34.85,0,-,3.41,66361.41,66361.41,4.0492,4.8711,2.34%,27.5,0.390545455
600530,0.05,66.67,1066.67,1.16,4.81,-,2.64亿,1.02,45.01,3695.87万,55.59,883.94,0,-,60.66,77492,77492,0.0717,-0.0736,4.10%,2.19,0.529680365
600531,0.33,44.52,177.94,4.22,9.94,-,165.32亿,19.73,-1.9,3.65亿,44.54,40.3,0,-,-17.26,109024.26,109024.26,1.334,1.6042,7.92%,6.28,0.671974522
600533,0.01,-91.85,-,4.27,-2.33,-,18.67亿,172.15,-43.66,992.27万,-91.89,138.44,0,-,24.28,105000,105000,1.0116,1.8841,0.22%,3.01,1.418604651
600535,0.18,147.7,594.8,8.37,1.88,-,20.80亿,11.29,-16.54,2.66亿,147.75,241.27,0,-,6.36,149970.01,149970.01,0.8869,5.4766,2.12%,14.8,0.565540541
600536,-0.31,-,-,3.49,-23.73,-,12.18亿,-20.07,-69.98,-1.99亿,-,-,0,-,5.53,86020.53,83581.11,2.0756,0.9517,-8.60%,33.93,0.102858827
600537,0.11,1200,-95.99,2.18,12.4,-,21.17亿,55.54,-49.96,1.27亿,1187.36,60.04,0,-,228.6,119285.93,118048.43,1.298,-0.1548,4.86%,5.15,0.423300971
600538,0,-,-,1.81,2.68,-,1.02亿,-15.94,-16.23,-264.68万,-,-,0,-,-13.79,52419.83,52419.83,1.4973,-0.7498,-0.28%,4.46,0.405829596
600539,-0.02,-,-,1.85,-2.36,-,8448.56万,-24.17,-63.39,-444.92万,-,-,0,-,5.91,23000,23000,2.2753,-1.591,-1.05%,6.96,0.265804598
600540,0,116.78,275.69,1.36,-24.6,-,2.38亿,93.82,-70.36,291.68万,116.85,101.79,0,-,126.64,58137.7,58137.7,2.1531,-1.8637,0.37%,5.11,0.266144814
600543,-0.01,-,254.55,2.99,-9.91,-,5178.33万,85.57,54.56,-359.06万,-,-,0,-,218.75,32112,32112,1.451,0.1192,-0.38%,5.7,0.524561404
600545,-0.03,-,144.01,1.64,-17.08,-,12.00亿,6.08,-22.66,-4870.90万,-,-,0,-,-19.02,189541.3,189541.3,0.8335,0.0661,-1.56%,2.83,0.5795053
600546,0.85,2.41,-,8.49,23.75,-,106.48亿,-1.09,-1.03,16.86亿,2,6.22,0,-,-10.1,198245.61,198245.61,1.6905,4.955,10.02%,15.77,0.538363982
600547,0.07,40,-,7.42,12.33,-,130.98亿,-2.84,25,4.39亿,39.34,-20.62,0,-,-1,447342.95,361444.33,0.978,2.9607,1.32%,23.76,0.312289562
600548,0.18,8.33,-,10.08,-7.94,-,19.04亿,7.38,-30.17,4.43亿,7.23,35127.66,0,-,136.11,218077.03,143327.03,2.0133,3.8931,2.01%,9.88,1.020242915
600549,0.31,15.65,-,7.37,7.27,-,85.62亿,-18.51,-24.28,4.40亿,16.05,214.37,0,-,35.21,141845.92,141101.14,2.326,3.6167,4.21%,17.09,0.431246343
600550,0,-57.14,-,0.4,3.79,-,5.83亿,-12.92,-61.77,564.74万,-55.29,-80.61,0,-,23.84,184152.85,184152.85,2.1642,-2.9577,0.77%,4.53,0.088300221
600551,0.18,6.8,-,11.03,5.33,-,16.98亿,5.16,-24.95,8674.81万,6.78,-24.96,0,-,-26.03,48432.52,48432.52,2.389,7.1042,1.62%,10.97,1.005469462
600552,0.03,-6.02,-,4.35,23.61,-,12.38亿,-5.58,31.75,2947.25万,16.31,-18.28,0,-,-35.42,94460.69,89541.41,2.7399,0.5626,0.72%,11.56,0.376297578
600556,0.01,-79.61,-,2.09,1.75,-,9.55亿,-17.65,-6.65,1903.08万,-79.58,179,0,-,-8.15,180774.76,180774.76,0.42,0.6387,0.50%,6.12,0.341503268
600557,0.47,27.03,144,8.42,7.55,-,25.53亿,21.74,-11.23,2.76亿,30.6,-5.06,0,-,-0.84,58459.8,57642.9,0.2088,6.826,5.60%,16.76,0.502386635
600558,0.03,37.67,-,2.46,2.18,-,8.92亿,-0.52,8.85,2655.75万,37.44,34.46,0,-,19.55,89760.48,89760.48,0.487,0.7885,1.20%,3.77,0.652519894
600559,0.11,-63.33,-,4.89,9.87,-,10.03亿,10.43,-16.28,1.02亿,-61.51,-41.23,0,-,-7.18,91474.74,89728.74,1.648,2.1918,2.29%,23.44,0.208617747
600560,0.07,16.67,-,3.95,3.67,-,2.16亿,38.69,-21.85,1598.64万,18.03,166.82,0,-,18.25,22364.55,22364.55,0.9251,1.7199,1.81%,12.96,0.304783951
600561,-0.14,-,850,3.22,-15.99,-,3.61亿,-11.39,-2.87,-4097.35万,-,-,0,-,-,28447.68,28447.68,2.3004,-0.7088,-4.48%,6.18,0.521035599
600562,0.09,28.57,-,4.2,8.74,-,5.72亿,-2.6,-52.51,1.12亿,30.48,-39.85,0,-,26.39,124185.78,122620.57,1.4532,1.611,2.16%,14.15,0.296819788
600563,1.03,13.44,-,19.16,18.48,-,9.29亿,10.62,-8.85,2.31亿,13.1,-26.69,0,-,-1.81,22500,22500,1.1643,16.3044,5.36%,97.84,0.195829926
600565,-0.04,-,191.89,1.99,-40.68,-,44.71亿,99.83,28.44,-1.00亿,-,-,0,-,4.34,249150.63,249150.63,0.9183,-0.2748,-2.02%,1.53,1.300653595
600566,0.74,13,-,26.54,19.41,-,23.88亿,9.87,-23.03,6.77亿,16.44,16.96,0,-,-1.52,92171.67,91574.82,8.8071,16.5943,5.63%,26.64,0.996246246
600567,-0.08,-,182.89,3.99,-20.91,-,63.51亿,-20.22,-25.84,-3.41亿,-,-,0,-,135.25,447056.6,447056.6,0.9832,1.2582,-2.59%,2.19,1.821917808
600568,-0.01,-,202.33,1.39,-22.92,-,1.18亿,-3.82,-6.74,-2782.87万,-,-,0,-,147.51,199286.97,156494.83,1.5063,-1.1686,-1.01%,1.72,0.808139535
600569,-0.13,-,329.9,2.47,-31.13,-,98.71亿,16.69,5.13,-3.72亿,-,-,0,-,-,287242.14,287242.14,1.581,-0.7354,-5.24%,2.3,1.073913043
600570,0.12,500,-,3.71,-4.67,-,11.30亿,16.05,-59.15,2.22亿,637.74,-79.43,0,-,-9.22,190000.64,190000.64,0.2526,2.2746,3.15%,30.63,0.121123082
600571,0.02,113.1,355.07,2.23,-9.96,-,3.60亿,17.3,1.05,988.61万,113.39,115.18,0,-,210.08,46679.58,44564.05,0.7694,0.3803,0.92%,9.75,0.228717949
600572,0.11,175,-,2.79,0.28,-,21.31亿,33.6,40.89,2.84亿,179.92,120.71,0,-,26.43,257003.73,256329.55,0.061,1.4958,3.96%,5.19,0.537572254
600573,0,157.14,-,4.85,2.79,-,1.37亿,7.04,112.08,89.81万,152.38,109.78,0,-,173.8,25000,25000,2.0243,1.2979,0.07%,10.53,0.460588794
600575,0.04,-33.33,-,2.68,3.02,-,57.56亿,-1.5,40.01,1.65亿,-22.03,157.71,0,-,-37.73,388626.11,388626.11,1.2876,0.347,1.59%,2.55,1.050980392
600576,0.02,300,-100,2.53,45.7,-,1.32亿,279.68,-34.28,2483.19万,705.85,85.35,0,-,11.91,106732.42,67316.58,2.3871,-0.8999,0.92%,7.51,0.336884154
600577,0.05,-16.67,-,2.48,8.35,-,39.85亿,-12.92,-5.74,1.01亿,-1.11,-11.08,0,-,30.28,207914.88,199581.55,0.1955,1.1865,1.96%,4.11,0.603406326
600578,0.06,50,-,3.71,13.32,-,85.77亿,9.49,2.14,4.08亿,39.02,1466.53,0,-,8.91,669459.14,669459.14,1.2256,0.195,1.64%,3.02,1.228476821
600579,-0.68,-,207.56,6.31,-32.96,-,25.90亿,33.42,-26.11,-3.38亿,-,-,0,-,5.39,49778.46,49778.46,10.8259,-5.9737,-10.77%,7.14,0.883753501
600580,0.2,29.79,-,7.04,10.31,-,38.36亿,8.77,2.36,2.58亿,30.1,1521.22,0,-,6.95,131136.61,130829.11,1.5321,4.6058,2.78%,11.1,0.634234234
600581,-0.3,-,218.13,1.59,-38.15,-,40.09亿,-21.33,19.41,-4.67亿,-,-,0,-,-,154522.25,153289.79,1.6915,-1.5823,-18.92%,4.04,0.393564356
600582,0.15,49.5,-,5.08,8.01,-,66.51亿,11.06,-11.92,6.25亿,48.94,77.37,0,-,23.25,413858.89,413858.89,0.4228,3.399,2.97%,5.14,0.988326848
600583,0.1,233.33,-,5.47,5.85,-,63.97亿,46.91,-35.27,4.48亿,279.56,-27.99,0,-,66.07,442135.48,442135.48,0.9608,3.0215,1.86%,6.13,0.89233279
600584,0.06,-87.5,-,13.85,12.94,-,58.60亿,-27.99,-34.77,1.10亿,-87.24,-85.88,0,-,-19.01,178702.68,178702.68,8.4872,4.082,0.45%,30.91,0.448075057
600585,0.48,-48.39,-,35.12,-1.14,-,313.68亿,23.2,-32.82,25.51亿,-48.21,-21.33,0,-,17.81,529930.26,399970.26,1.986,31.8894,1.37%,23.86,1.471919531
600586,0.06,-39.47,-,3.81,-3.68,-,19.04亿,6.85,7.25,8786.48万,-39.47,248.57,0,-,-17.78,142877,142877,1.1966,1.5533,1.61%,6.83,0.557833089
600587,0.46,48.39,-,14.73,20.34,-,24.39亿,15.42,-7.31,1.97亿,54.01,137.7,0,-,-4.76,46687.5,40642.81,6.3262,6.8201,2.86%,23.85,0.617610063
600588,-0.12,-,-,3.22,-1.34,-,14.75亿,15.29,-59.77,-3.97亿,-,-,0,-,-26.61,343312.2,341699.74,1.7009,0.4798,-3.59%,16.3,0.197546012
600589,-0.06,-,200.81,-1.01,-,-,9020.58万,-54.57,-23.07,-4140.30万,-,-,0,-,114.54,70403.33,70403.33,1.5543,-3.8199,0.00%,4.39,-0.230068337
600590,0.07,-58.19,-,4.2,-8.31,-,10.16亿,3.36,-67.58,6282.18万,-58.45,134.31,0,-,51.8,85286.98,84356.95,2.5437,0.5327,1.76%,6.43,0.65318818
600592,0.17,518.25,168.15,5.76,1.36,-,4.88亿,12.18,9.75,6869.11万,518.66,146.7,0,-,24.6,39955.36,39955.36,1.7422,2.4873,2.99%,9.73,0.591983556
600593,0.01,106.14,381.44,1.47,-22.37,-,6944.65万,162.74,358.9,183.80万,106.13,106.48,0,-,134.59,12880,12880,1.3536,-1.0928,0.97%,16.5,0.089090909
600594,0.06,-12.5,175.7,3.9,-13.09,-,6.84亿,-0.59,7.51,4399.99万,-12.96,107.07,0,-,5.95,79192.74,79192.74,0.9266,1.5959,1.43%,5.77,0.675909879
600595,0.05,-54.55,-,3.08,14.64,-,40.43亿,-15.31,35.45,1.99亿,-52.94,292.24,0,-,762.58,401740.81,396458.01,2.6799,-0.6179,1.62%,3.47,0.887608069
600596,0.09,-93.81,-,10.18,-18.12,-,38.80亿,-40.32,5.62,1.06亿,-91.33,21.6,0,-,-31.79,114574.65,102926.65,0.5676,8.0233,0.91%,9.74,1.045174538
600597,0.14,16.67,-,5.91,1.49,-,70.71亿,-2.42,3.53,1.87亿,13.05,2229.55,0,-,2.88,137864.09,137845.54,2.1199,2.4808,2.30%,9.43,0.626723224
600598,0.3,21.37,-,4.34,2.39,-,8.67亿,20.42,9.62,5.35亿,21.43,271.13,0,-,219.47,177767.99,177767.99,1.3615,0.8216,6.94%,12.62,0.343898574
600599,0.13,-41.74,-,4.88,10.49,-,7102.68万,-39.35,22.02,2105.36万,-41.95,10.4,0,-,-9.86,16600,16600,3.1188,0.6578,2.60%,13.77,0.354393609
600600,1.07,28.42,-,19.8,11.81,-,107.06亿,16.27,249.68,14.51亿,28.86,360.84,0,-,121.05,136423.28,70469.84,3.0887,14.6453,5.37%,81.05,0.244293646
600601,0,-,-4.52,0.82,317.05,-,6.81亿,-30.51,-54.93,-2052.34万,-,-,0,-,-5.45,417029.33,417029.33,1.2538,-1.2831,-0.60%,3.08,0.266233766
600602,0.03,-44.44,-,3.36,1.42,-,11.08亿,-3.11,-22.93,4166.51万,-43.22,45.59,0,-,-13.18,136767.35,107430.3,1.0877,0.9696,0.91%,12.3,0.273170732
600603,0.15,275,-,3.45,8.11,-,7.28亿,256.86,-83.98,1.84亿,254.34,-55.92,0,-,57.87,123055.02,123055.02,0.0191,2.6108,3.14%,6.91,0.499276411
600604,-0.02,-,-,3.5,-0.78,-,2.45亿,-46.48,-23.24,-3978.44万,-,-,0,-,-11.88,187330.48,140745.48,1.6665,0.7378,-0.61%,4.6,0.760869565
600605,0.04,148.23,-,5.49,0.75,-,2424.43万,8.55,-36.6,714.90万,146.55,176.73,0,-,8.87,20628.24,20628.24,2.6327,1.3737,0.63%,19.25,0.285194805
600606,0.14,-30,116.67,6.61,-8.88,-,788.06亿,-17.87,-39.26,19.91亿,-21.83,133.53,0,-,108.68,1405421.83,1405421.83,0.7084,4.4669,2.14%,2.53,2.612648221
600608,0,-91.75,-,0.2,-1.48,-,5501.11万,-50.17,-33.05,17.46万,-91.58,45.68,0,-,4.01,32886.14,31837.14,1.3643,-2.3069,0.27%,4.18,0.04784689
600609,0.04,100,-,0.75,22.21,-,14.83亿,43.44,1.29,5725.65万,94.52,233.8,0,-,-32.29,131120.06,131120.06,1.2333,-1.7877,5.78%,4.84,0.154958678
600610,-0.01,-,-,0.12,-12.54,-,3.26亿,-5.03,4.23,-1174.32万,-,-,0,-,-10.83,107127.46,44867.52,0.8238,-1.5799,-8.94%,7.36,0.016304348
600611,0.04,136.36,433.33,4,-0.2,-,7.33亿,58.41,-9.77,9913.49万,138.1,8,0,-,2.65,236412.29,156331.64,0.065,2.5083,1.05%,3.04,1.315789474
600612,1.37,76.09,-,20.73,12.96,-,245.58亿,33.17,159.27,7.16亿,76.1,107.96,0,-,-12.53,52311.78,31710.96,0.8935,18.1937,6.60%,60.48,0.342757937
600613,0.04,0,-,4.41,-0.29,-,5.83亿,-0.93,-13.76,2379.08万,1.39,441.4,0,-,14.73,53407.16,47932,1.8143,1.4223,1.01%,8,0.55125
600615,-0.02,-,533.33,3.36,0.51,-,2316.32万,-45.3,-45.01,-319.92万,-,-,0,-,-,18802.05,18762.45,2.3824,-0.3412,-0.51%,10.13,0.331688055
600616,0.2,1900,375,3.05,5.95,-,1.10亿,-32.88,-55.25,1.33亿,3748.2,499.47,0,-,-30.81,66900.5,66900.5,0.5614,1.3858,6.52%,6.25,0.488
600617,0.08,-38.46,-57.14,2.74,0.01,-,56.66亿,22.97,25.49,1.17亿,-32.65,23.69,0,-,-31.24,137799.41,97491.43,1.0207,0.6161,3.10%,4.13,0.663438257
600618,0.26,-66.49,109.2,6.63,5.21,-,34.55亿,-5.76,9.27,2.97亿,-66.49,-42.21,0,-,-33.43,115640,74984,1.447,3.6106,3.88%,8.96,0.739955357
600619,-0.03,-,-,5.61,-2.71,-,43.02亿,-0.41,4.6,-2731.64万,-,-,0,-,-15.47,108327.94,78917.48,3.2836,1.1047,-0.45%,7.26,0.772727273
600620,0.01,130.88,-,2.85,-18.42,-,6601.78万,1594.99,-71.93,748.24万,130.87,-88.81,0,-,0.21,68667.71,68667.71,0.0777,0.5916,0.38%,10.14,0.281065089
600621,0.08,0,-,7.09,2.74,-,438.41万,-84.23,-82.97,8675.73万,7.68,-19.58,0,-,255.02,106089.93,106089.93,1.7356,4.0671,1.15%,12.54,0.56539075
600622,0,-100,-,4.7,-1.26,-,4.93亿,-26.88,-51.99,547.57万,-84.83,283.19,0,-,-6.03,149968.54,149968.54,0.943,2.5293,0.08%,2.71,1.734317343
600623,0,-98.44,-,10.22,-1.68,-,96.08亿,0.43,4.94,1051.67万,-98.43,-92.67,0,-,-14.1,213144.96,186219.68,4.2703,4.721,0.05%,6.99,1.462088698
600624,0,-84.52,155.75,1.28,-1.19,-,1.70亿,-22.17,-20.28,87.16万,-84.86,111.01,0,-,43.42,68471.2,68471.2,0.2508,0.088,0.10%,5.89,0.217317487
600626,-0.09,-,300,2.73,-4.85,-,26.27亿,8.22,-13.07,-9517.17万,-,-,0,-,-45.94,132074.47,85229.13,1.2204,-0.0601,-3.14%,3.69,0.739837398
600628,0.04,100,500,6.54,-2.98,-,2.65亿,26.12,-1.48,2390.87万,127.82,219.98,0,-,28.29,64687.54,64687.54,2.4198,2.8297,0.57%,7.21,0.907073509
600629,0.09,-35.71,-,25.83,-54.61,-,16.86亿,7.41,-45.39,8810.60万,0.86,-33.42,0,-,-2.08,97055.6,94465.9,2.4243,2.0586,1.91%,5.36,4.819029851
600630,0.03,175,216.67,1.67,-40.9,-,4.53亿,-25.77,205.59,1257.77万,167.86,102.74,0,-,198.28,42486.16,42486.16,2.1902,-1.5712,1.77%,8.86,0.188487585
600633,0.21,425,-,7.55,6.84,-,9.24亿,-11.46,-26.18,2.71亿,440.16,106.86,0,-,-44.37,126573.05,126573.05,2.3252,4.0601,2.84%,11.94,0.632328308
600635,0.09,179.84,421.25,2.87,1.28,-,21.46亿,8.23,51.19,2.60亿,179.84,240.87,0,-,151.82,295243.47,241879.17,0.4338,1.1925,3.06%,3.03,0.947194719
600636,0.01,134.04,-,6.11,6.16,-,5746.02万,29,-73.78,485.15万,133.06,-92.42,0,-,4.52,44044.9,44044.9,3.2588,1.4302,0.18%,9.71,0.629248198
600637,0.08,41.57,159.05,8.7,-1.65,-,17.07亿,0.51,-17.44,2.54亿,41.43,290.03,0,-,3.66,341450.02,341450.02,3.2392,4.0449,0.86%,7.54,1.153846154
600638,0.01,-24.05,-,6.51,0.37,-,4.89亿,-62.27,-74.21,406.05万,-24.05,121.94,0,-,41.32,67339.68,67339.68,1.3404,3.6185,0.09%,5.67,1.148148148
600639,1.22,51.34,-,12.75,11.1,-,42.77亿,67.76,172.22,13.72亿,51.34,163.42,0,-,-10.26,112241.29,85023.67,1.5226,8.1988,9.59%,11.17,1.141450313
600640,0.03,337.98,324.38,5,-3.9,-,4.80亿,-44.28,-29.22,2441.89万,337.8,124.45,0,-,2.34,79569.59,79569.59,3.0056,0.5954,0.61%,10.46,0.478011472
600641,0.09,188.63,-,9.01,12.54,-,1.24亿,27.56,-86.3,8032.22万,194.88,-78.35,0,-,-1.48,93062.99,93062.99,0.2133,5.9427,0.96%,16.89,0.533451747
600642,0.15,268.29,-,6.45,2.31,-,72.80亿,-4.64,1.32,7.34亿,263.93,1242.27,0,-,38.27,490942.83,486493.83,0.9654,1.3413,2.32%,5.95,1.084033613
600643,0.13,-28.65,-,7.81,-0.05,-,2.93亿,-26.48,-24.6,2.12亿,-28.69,215.23,0,-,583.83,162192.25,161910.34,2.4943,3.5383,1.68%,5.26,1.484790875
600644,-0.02,-,-,3.31,2.03,-,7.61亿,1.13,0.61,-997.33万,-,-,0,-,25.77,53840.07,53840.07,2.5958,-0.4712,-0.56%,6.89,0.480406386
600645,0.08,0,-,7.64,4.57,-,3.78亿,-4.17,-0.24,3737.38万,4.33,2490.13,0,-,9.97,46794.89,46777.02,7.2233,-0.826,1.05%,21.02,0.363463368
600647,-0.01,-,162.96,2.11,-5.73,-,35.85万,-78.07,-7.06,-135.83万,-,-,0,-,-97.85,13914.36,13914.36,0.0053,0.8561,-0.46%,12.24,0.172385621
600648,0.03,-95.77,-,10.59,-3.78,-,14.49亿,-63.45,-37.03,3210.44万,-96.04,-92.54,0,-,-39.23,113534.91,93479.16,3.1615,5.5181,0.27%,10.57,1.001892148
600649,0.02,-89.47,-,8.2,-0.46,-,4.85亿,-59.31,-89.5,5843.07万,-87.72,-87.75,0,-,35042.86,252957.56,252957.56,0.6078,5.6717,0.28%,4.03,2.034739454
600650,0.03,-97.07,-,7.08,-3.19,-,4.74亿,-7.71,-20.7,1467.18万,-97.4,196.28,0,-,117.92,55161.01,39056.01,0.5387,3.9717,0.38%,9.43,0.750795334
600651,-0.01,-,-,0.94,9.82,-,4.06亿,-64.32,-31.33,-1537.99万,-,-,0,-,-2.76,250702.8,124158.49,1.384,-1.5415,-0.65%,3.45,0.272463768
600653,-0.01,-,205.1,0.5,-17.36,-,13.43亿,-18.95,-0.53,-2436.85万,-,-,0,-,8.46,194638.03,194638.03,0.1829,-0.6798,-2.50%,1.96,0.255102041
600654,0,-,-76.96,0.51,143,-,6.54亿,23.26,-13.03,-713.72万,-,-,0,-,73.36,286332,228202.22,0.98,-1.5071,-0.49%,2.28,0.223684211
600655,0.09,0,-,9.23,4.25,-,152.44亿,24.56,-8.66,3.36亿,0.57,-88.51,0,-,-11.82,389993.09,388752.47,2.2272,5.1984,0.93%,6.4,1.4421875
600657,0.01,0,-,8.48,1.23,-,12.88亿,-68.15,-79.74,2245.26万,-26.03,-77.97,0,-,-37.42,285187.86,285187.86,2.8825,4.5987,0.09%,4.15,2.043373494
600658,0.15,287.5,-,6.89,13.2,-,18.54亿,553.44,-38.42,1.71亿,302.49,-68.83,0,-,-13.67,111858.5,111858.5,2.3795,3.2289,2.22%,4.46,1.544843049
600660,0.35,6.06,-,11.42,9.78,-,70.52亿,7.71,-7.92,9.15亿,4.97,6.99,0,-,1.31,260974.35,200298.63,3.7171,5.3278,3.07%,37.11,0.307733764
600661,-0.11,-,-,1.11,30.45,-,1.89亿,-5.14,-11.86,-2976.14万,-,-,0,-,-15.05,28654.88,28654.88,1.7721,-0.8635,-9.34%,8.84,0.125565611
600662,0.08,5.49,-,1.79,2.17,-,46.39亿,31.61,9.1,1.83亿,5.56,71.47,0,-,-6.63,228371.17,105336.22,0.3012,0.4598,4.46%,5.11,0.350293542
600663,0.19,-34.14,147.31,5.41,0.97,-,39.58亿,-22.43,-0.25,7.49亿,-34.15,-32.94,0,-,-22.94,403419.74,293346.14,0.0113,3.5907,3.44%,9.25,0.584864865
600664,0.05,25,-,1.77,12.7,-,39.32亿,17.93,2.97,1.22亿,21.75,-60.29,0,-,-14.2,252090.5,251813.59,0.2726,0.6843,2.75%,3.61,0.490304709
600665,0.02,158.33,-,5.1,6.59,-,31.91亿,783.67,-51.86,1572.40万,158.36,-94.28,0,-,-67.42,86412.25,86412.25,0.2398,3.4865,0.36%,3.87,1.317829457
600666,0,-,-,0.75,248.63,-,4469.21万,-68.04,-63.03,-1225.12万,-,-,0,-,108.89,276351.28,241975.29,0.4905,-0.7253,-0.71%,2.25,0.333333333
600667,0.08,0,407.14,3.45,-11.48,-,86.59亿,26.86,-25.24,1.67亿,-4.95,155.5,0,-,2.26,210619.02,210619.02,1.4934,0.6541,2.30%,6.39,0.539906103
600668,0.07,16.64,-,15.13,0.82,-,6.07亿,-27,-37.28,2315.42万,16.58,-77.44,0,-,-9.09,34408.38,34408.38,1.4242,12.0488,0.45%,11.28,1.341312057
600671,-0.07,-,257.69,-0.19,-,-,2225.29万,-14.58,-27.31,-905.51万,-,-,0,-,-13.37,12177.89,12172.05,0.5977,-1.9907,0.00%,10.32,-0.018410853
600673,0.02,-77.78,-,3.42,14.99,-,27.15亿,-4.48,-9.01,6564.25万,-77.2,-87.57,0,-,-34.72,301387.43,299726.43,0.4828,1.774,0.64%,7.01,0.487874465
600674,0.25,101.18,-,7.82,8.63,-,2.51亿,44.06,-53.35,11.36亿,103.65,90.56,0,-,-0.18,446082.09,446082.09,1.0251,3.492,3.26%,14.76,0.529810298
600675,-0.05,-,-,2.46,-2.96,-,3.88亿,-43.52,-45.39,-2.70亿,-,-,0,-,-,609613.53,609613.53,0.3683,0.9653,-1.80%,3.31,0.743202417
600676,-0.03,-,-,5.34,0.84,-,10.32亿,-36.28,-40.07,-3071.53万,-,-,0,-,104.65,102849.29,102849.29,2.2386,1.6076,-0.56%,4.29,1.244755245
600678,0,-80.25,-,0.75,4.16,-,7731.67万,-5.2,-21.63,166.13万,-80.39,-61.25,0,-,3.53,34899,34899,0.876,-1.3317,0.63%,5.46,0.137362637
600679,0.03,-37.84,186.57,4.14,-14.38,-,3.52亿,-15.06,131.87,1515.13万,-37.9,-,0,-,-,51529.43,29943.43,3.1559,-0.122,0.71%,8.61,0.480836237
600681,0.16,-10.5,120,3.72,1.1,-,26.73亿,1.88,-55.98,2.18亿,-11.64,-73.96,0,-,34.23,134085.48,133980.88,0.4217,2.0874,5.89%,4.24,0.877358491
600682,0.13,-18.75,-,12.63,-1.91,-,15.96亿,14.06,-9.72,1.80亿,-14.23,64.52,0,-,-2.3,134613.22,116506.03,6.6826,4.5001,1.06%,7.71,1.638132296
600683,0.02,0,-,11.93,-1.51,-,98.66亿,716.96,109.46,1.74亿,-1.01,-58.88,0,-,-62.77,74077.76,74077.76,0.4421,1.7814,1.97%,5.39,2.213358071
600684,-0.06,-,593.02,0.54,-77.46,-,21.13亿,2612.86,-32.12,-5112.14万,-,-,0,-,10.95,85346.07,85346.07,0.2737,-0.7585,-11.13%,3.74,0.144385027
600685,-0.02,-,-,10.87,7.64,-,18.99亿,68.27,-65.45,-2666.55万,-,-,0,-,-29.73,141350.64,82143.52,6.3683,1.5633,-0.17%,22.24,0.488758993
600686,-0.02,-,380,4.98,-11.88,-,37.46亿,27.78,-51.4,1067.33万,175.32,107.72,0,-,58.52,71704.74,71704.74,1.9317,0.9308,0.30%,8.57,0.581096849
600688,-0.02,-,412.5,2.42,-14.81,-100,219.78亿,-15.49,-11.16,-1.63亿,-,-,0,-,275.76,1079928.55,732881.35,0.0564,0.7186,-0.63%,3.04,0.796052632
600689,0.01,160,204.29,2.13,-2.57,-,2.83亿,145.63,-11.63,266.37万,159.76,117.88,0,-,-45.51,20099.13,15220.41,1.0537,-0.1439,0.62%,10.63,0.200376294
600690,0.43,13.16,-,10.25,15.17,-,650.66亿,7.99,10.72,39.71亿,12.91,30.4,0,-,-15.69,943811.49,630855.27,2.5501,6.5551,4.10%,22.49,0.455758115
600691,0.01,-82.31,-,2.54,-0.58,-,39.00亿,-17.59,10.05,1642.20万,-82.27,113.51,0,-,521.43,237598.2,237558.6,1.8378,-0.3224,0.27%,3.29,0.772036474
600692,-0.06,-,-,2.58,-2.35,-,2.82亿,7.48,-58.88,-1950.95万,-,-,0,-,-84.5,35176.41,25501.05,0.1727,1.1509,-2.15%,5.96,0.432885906
