name,每股收益,同比%,当季环比%,每股净资产,同比%,当季环比%,主营收入,同比%,当季环比%,净利润,同比%,当季环比%,销售毛利率,同比%,当季环比%,总股本(万股),流通股本(万股),每股资本公积金,每股未分配利润,净资产收益率,price,
600376,-0.38,-,-,9.73,-17.96,-,36.35亿,54.91,-87.26,-9.45亿,-,-,0,-,-4.66,257956.52,257956.52,2.964,4.4935,-3.77%,3.67,2.651226158
600377,0.24,54.27,-,6.57,4.52,-,36.30亿,40.77,-3.75,12.27亿,54.29,99.5,0,-,193.56,503774.75,380218.3,1.9406,2.4953,3.71%,10.08,0.651785714
600378,0.25,1.57,-,9.27,14.36,-,20.58亿,11.01,-23.06,2.28亿,2.37,-44.29,0,-,16.99,91147.38,90394.69,2.8101,5.1378,2.70%,30.25,0.306446281
600379,0.03,38.24,-,2,6.59,-,3.60亿,33.65,8.93,932.11万,38.04,-47.09,0,-,-42.24,33020.16,33020.16,0.0309,0.786,1.41%,9.69,0.206398349
600380,0.24,-0.29,-,6.93,9.69,-,45.59亿,-2.11,10.37,4.63亿,0.48,23.06,0,-,4.6,191172.96,191172.96,1.3174,4.6234,3.46%,11.96,0.579431438
600381,-0.05,-,221.85,2.56,-16.29,-,5634.64万,-25.09,78.7,-2871.85万,-,-,0,-,577.65,58706.07,58706.07,0.4043,0.9764,-1.91%,7.77,0.329472329
600382,0.1,25,-,4.74,-11.06,-,1.71亿,-14.65,-29.46,7753.82万,32.37,676.2,0,-,13.12,78893.38,78893.38,0.5152,2.9265,2.08%,4.6,1.030434783
600383,0.11,-21.43,-,14.48,2.93,-,143.37亿,7.69,-78.63,5.08亿,-18.89,-81.67,0,-,-13.19,451458.36,451458.36,0.098,12.7398,0.78%,5.06,2.861660079
600386,-0.01,-,-,2.27,0.41,-,10.55亿,16.54,23.12,-713.26万,-,-,0,-,-34.82,80640,80640,0.2734,0.7215,-0.39%,3.97,0.571788413
600387,0.04,0,-,6.69,-2.74,-,6.18亿,-73.83,125.08,1679.06万,-1.81,216.94,0,-,1069.51,46814.45,40404.85,2.1356,3.2255,0.54%,5.74,1.165505226
600388,0.17,0,-,7.09,7.26,-,24.18亿,24.39,-45.08,1.85亿,4,9.93,0,-,0.38,108109.49,108109.49,0.5002,4.8364,2.42%,14.97,0.473613894
600389,0.42,-80.86,-,11.34,12.46,-,13.53亿,-50.25,8.28,1.24亿,-80.86,-20.54,0,-,3.23,44348.34,43065,1.2319,8.0538,3.57%,19.01,0.596528143
600390,0.19,35.71,-,10.99,3.21,-,1.85亿,65.38,63.93,9.54亿,34.91,78.65,0,-,0.42,449806.55,449806.55,4.7393,2.7249,1.93%,5.07,2.16765286
600391,-0.03,-,-,4.67,5.71,-,7.41亿,-1.27,-50.33,-1082.74万,-,-,0,-,-16.85,33012.94,33012.94,3.1027,0.1694,-0.70%,18.95,0.246437995
600392,0.04,-89.15,-,5.48,-11.8,-,48.03亿,10.67,23.83,7737.83万,-89.14,-28.53,0,-,33.37,175282.66,175282.66,1.1862,2.3629,0.81%,10.65,0.514553991
600395,0.16,-43.79,-,5.63,24.1,-,28.63亿,-0.18,2.72,3.50亿,-26.89,-34.58,0,-,-11.02,214662.49,214662.49,2.2346,1.9448,2.90%,6.03,0.933665008
600396,-0.17,-,345.1,-1.38,-,-,20.27亿,-7.21,-2.54,-2.53亿,-,-,0,-,-,147270.68,147270.68,0.9302,-3.4143,0.00%,2.55,-0.541176471
600397,0.06,136.32,21.33,0.65,23.61,-,16.67亿,-15.89,-15.9,5687.51万,136.3,-48.27,0,-,-17.05,98995.99,98995.99,1.8822,-2.5441,8.80%,2.89,0.224913495
600398,0.19,11.76,-,15.48,-2.02,-,56.82亿,9.02,141.55,8.03亿,11.07,-,0,-,-,431960.76,431960.76,0.1304,2.5542,5.22%,7.37,2.100407056
600399,0.03,-29.56,-,3.1,2.86,-,20.09亿,10.24,-3.31,6022.30万,-29.49,158.74,0,-,-30.96,197210,197210,1.1044,0.861,0.99%,9.21,0.336590662
600400,0.01,0,100,1.32,-3.96,-,6.55亿,1.79,-2.83,3145.77万,5.25,200.68,0,-,11.51,230025.19,229137.19,0.0554,0.3592,1.04%,2.91,0.453608247
600403,0.13,30.56,-,3.46,10.31,-,20.04亿,-13.25,7.22,3.15亿,30.57,70.31,0,-,32.53,239081.24,239081.24,0.0699,2.1566,3.80%,3.88,0.891752577
600405,-0.08,-,-,1.51,-4.34,-,1.72亿,-33.84,-56.44,-4600.91万,-,-,0,-,-14.95,55327.54,55327.54,0.9098,-0.4658,-5.51%,5.29,0.285444234
