name,每股收益,同比%,当季环比%,每股净资产,同比%,当季环比%,主营收入,同比%,当季环比%,净利润,同比%,当季环比%,销售毛利率,同比%,当季环比%,总股本(万股),流通股本(万股),每股资本公积金,每股未分配利润,净资产收益率,price,,
633,0,-49.18,-,0.45,2.62,-,4671.83万,-1.16,-28.49,119.75万,-49.33,259.44,0,-,20.09,38510.64,38510.26,0.1243,-0.8352,0.68%,7.59,0.059288538,
635,-0.5,-,196.3,6.95,-19.46,-,3.90亿,-8.44,0.62,-1.53亿,-,-,0,-,-,30461.05,30308.76,6.1996,-0.6134,-7.24%,8.8,0.789772727,
636,0.05,-75,-,10.33,30.68,-,9.34亿,-15.25,-2.21,5830.98万,-67.66,310.08,0,-,4.45,115701.32,107847.69,6.1803,2.4949,0.49%,15.18,0.680500659,
637,-0.06,-,173.08,1.64,-17.26,-,12.66亿,-33.81,36.69,-3021.85万,-,-,0,-,202.33,51987.54,36800.41,0.0263,0.1681,-3.55%,3.6,0.455555556,
638,-0.01,-,-,0.57,11.72,-,3665.80万,51.09,-28.46,-367.96万,-,-,0,-,-88.88,31001.56,30877.46,0.5065,-0.9251,-2.07%,6.51,0.087557604,
639,-0.04,-,203.92,3.02,-13.08,-,14.21亿,6.33,-1.4,-4223.99万,-,-,0,-,51.37,107942.81,107942.68,1.4844,0.3558,-1.30%,4.45,0.678651685,
650,0.13,17.09,-,4.23,8.82,-,13.56亿,3.39,3.7,1.82亿,17.09,54.51,0,-,3.62,139993.82,134231.9,0.5613,2.3746,3.08%,6.87,0.615720524,
651,0.73,7.35,-,18.1,10,-,354.56亿,0.56,-14.56,41.09亿,2.65,-33.75,0,-,-1.46,563140.57,559213.88,0.1452,16.9258,4.03%,33.93,0.533451223,
652,0,69.23,-,3.74,3.27,-,45.99亿,89.71,-22.28,646.56万,66.72,-84.82,0,-,-80.33,147557.39,147445.41,0.4639,1.8798,0.12%,4.06,0.921182266,
655,0.03,-59.42,-,5.18,5.16,-,2.63亿,-19.77,7.51,1643.07万,-59.74,349.66,0,-,649.23,59534.02,59534.02,0.8197,2.7702,0.53%,7.14,0.725490196,
656,-0.06,-,224.07,2.27,-68.37,-,99.51亿,-21.47,-13.07,-2.95亿,-,-,0,-,75.49,533971.58,531060.14,1.2928,-0.7454,-2.43%,1.59,1.427672956,
657,0.09,-10,-,5.11,8.95,-,30.57亿,0.98,-1.67,9973.00万,-7.4,-26.64,0,-,-14.29,139750.81,124023.17,3.2826,0.8579,1.82%,9.36,0.545940171,
659,-0.02,-,202.18,0.29,-31.7,-,2.79亿,-11.35,28.1,-2378.31万,-,-,0,-,542.52,128570.25,128570.25,0.2187,-1.2958,-6.27%,2.75,0.105454545,
661,2.13,-24.73,-,46.78,23.4,-,27.78亿,-6.63,-6.82,8.57亿,-24.71,26.87,0,-,3.52,40465.5,40199.28,8.4787,35.1947,4.53%,154.14,0.303490333,
663,0.16,433.33,-,2.86,45.63,-,1.38亿,37.35,49.07,5419.14万,382.08,189.13,0,-,615.6,33668.39,30629.8,4.7782,-2.8181,5.63%,8.88,0.322072072,
665,-0.08,-,313.64,5.13,-8.92,-,4.91亿,2.54,-31.57,-9616.92万,-,-,0,-,-14.61,113427.15,113422.39,3.9845,-0.0191,-1.65%,4.97,1.032193159,
668,-0.05,-,400,8.25,3.2,-,971.98万,-93.17,-92.88,-726.42万,-,-,0,-,-30.43,14684.19,14668.84,1.0688,5.4122,-0.60%,11.82,0.697969543,
669,-0.01,-,577.38,0.67,-22.8,-,3.44亿,-17.4,11.57,-976.22万,-,-,0,-,761.54,68040.88,68040.88,2.3786,-2.8738,-2.13%,1.85,0.362162162,
