name,每股收益,同比%,当季环比%,每股净资产,同比%,当季环比%,主营收入,同比%,当季环比%,净利润,同比%,当季环比%,销售毛利率,同比%,当季环比%,总股本(万股),流通股本(万股),每股资本公积金,每股未分配利润,净资产收益率,price,,
989,0.29,-33.56,142.02,4.56,-0.83,-,18.19亿,-3.72,-32.99,2.45亿,-33.55,-48.73,0,-,-4.78,85594.2,68987.45,1.8096,1.2249,6.28%,10.53,0.433048433,
990,-0.05,-,-,14.45,1.75,-,33.65亿,0.18,40.36,-5697.98万,-,-,0,-,219.14,121523.75,121523.66,10.3799,2.8203,-0.32%,8.3,1.740963855,
993,0.05,-36.06,-,4.88,8.21,-,2.13亿,50.72,-17.08,2149.14万,-39.96,171.65,0,-,49.42,45795.15,43974.76,3.602,0.2287,0.96%,9.38,0.520255864,
995,0.01,56.18,-,0.77,8.98,-,3855.90万,14,18.7,246.26万,56.32,-33.05,0,-,25.07,17740.8,17740.8,3.1198,-3.3825,1.80%,15.57,0.049454078,
996,0,-,153.92,1.39,-0.76,-,291.47万,-55.05,-74.58,-151.20万,-,-,0,-,101.4,34500,34500,0.1023,0.275,-0.32%,4.99,0.278557114,
997,0.3,257.07,190.31,5.71,-7.24,-,17.58亿,9.53,135.12,2.99亿,257.16,-,0,-,-,103206.29,102636.12,1.6951,2.9612,5.08%,17.26,0.330822711,
998,0.13,207.6,743.72,4.02,-11.71,-,10.64亿,17.49,-55.77,1.71亿,213.22,202.72,0,-,43.88,131697.03,129598.47,2.3096,1.2255,2.88%,16.23,0.247689464,
999,1.16,34.88,-,18.39,11.68,-,63.52亿,51.45,6.43,11.51亿,37.24,131.84,0,-,3.53,98818.4,97839.53,1.8394,15.0883,6.33%,42.72,0.430477528,
1201,-0.9,-,-,13.69,-20.78,-,3.25亿,14.41,-20.56,-1.91亿,-,-,0,-,-,21280.56,9182.84,8.7711,3.5028,-6.55%,22.71,0.602818142,
1202,0.08,0,-,5.49,-4.91,-,2.39亿,-15.13,-12.07,1061.27万,0.43,9.45,0,-,8.05,12880,4022.2,3.152,1.1359,1.50%,17.14,0.320303384,
1203,0.13,-56.67,-,4.21,16.62,-,6.40亿,-50.92,64.84,1.94亿,-56.63,337.83,0,-,-6.84,150802.16,43330.13,1.0293,1.7389,3.05%,10.87,0.387304508,
1205,0.26,-19.07,-,8.84,-20.25,-,2.92亿,61.84,15.44,4542.93万,15.81,32.11,0,-,-9.04,17097.73,11653.97,4.3567,3.2711,3.00%,17.36,0.50921659,
1206,-0.02,-,-,13.69,-25.95,-,2.84亿,-19.51,-24.49,-225.47万,-,-,0,-,-57.1,18489.38,11643.31,8.9461,3.3058,-0.13%,15.76,0.868654822,
1207,0.1,-23.37,-,7.21,-1.03,-,4.63亿,28.66,-12.48,1753.17万,-26.2,-55.11,0,-,-6.58,20242.15,6485.78,4.1654,2.0293,1.32%,17.18,0.41967404,
1208,0.03,-40,-,2.81,5.76,-,8.18亿,16.07,-6.97,1853.14万,-36.38,-29.47,0,-,11.52,53442.4,24962.88,0.7965,0.858,1.24%,9.04,0.310840708,
1209,0.23,-8,361.54,9.61,-29.02,-,3.48亿,14.22,-24.98,3059.73万,29.79,267.59,0,-,-8.08,13152.27,4028.79,5.7042,2.7008,2.42%,17.13,0.561004086,
1210,1.29,19.44,-25.81,15.22,4.93,-,5.18亿,5.77,46.83,1.17亿,19.05,311.48,0,-,74.16,10889.77,4843.04,7.1007,6.6203,8.46%,20.26,0.751233959,
1211,0.03,-84.21,185.71,12.23,-6.69,-,1.99亿,0.22,-39.69,209.27万,-84.86,110.16,0,-,27.26,7200,3755.71,6.8551,4.1623,0.24%,24.18,0.505789909,
1212,0.15,-21.05,-,13.41,-11.4,-,1.39亿,3.06,-13.44,1799.31万,2.56,-7.11,0,-,-1.97,11787.1,5481.61,7.7385,2.9266,1.14%,23.99,0.55898291,
1213,0.03,0,-,4.15,1.84,-,23.77亿,13.25,-3.78,1.38亿,19.87,300.47,0,-,382.28,444444.44,104444.44,2.6347,0.3872,0.75%,4.17,0.995203837,
1215,0.36,9.09,-,12.59,11.26,-,4.29亿,23.18,-6.36,3028.59万,5.49,-6.03,0,-,-4.5,8664.24,4522.21,6.5165,5.1637,2.78%,56.4,0.22322695,
1216,0.16,15.36,-,5.96,9.16,-,2.59亿,-20.84,-10.15,4142.55万,18.59,210.57,0,-,46.24,25186.67,6296.67,2.2096,2.4458,2.76%,12.74,0.467817896,
1217,0.1,-44.44,-,6.35,6.51,-,4.52亿,-9.07,-6.25,3293.70万,-43.61,-15.73,0,-,-46.98,33187,13292.62,2.5572,2.3823,1.56%,11.78,0.539049236,
1218,0.31,-8.82,-,16.67,-26.88,-,7.20亿,11.85,-17.45,3865.73万,27.5,-8.91,0,-,-5.3,13166,7401.81,9.6665,5.5589,1.84%,21.9,0.761187215,
1219,0.23,0,-,8.24,-16.74,-,1.31亿,13.44,7.44,2688.82万,30.5,61.52,0,-,20.26,14998.75,7565.49,2.9692,3.8369,2.83%,19.39,0.42496132,
1222,0.16,-72.79,-,8.55,42.88,-,1.88亿,-46.23,10.66,2117.98万,-63.71,4.74,0,-,-3.07,19089,4774,4.0571,3.1335,1.82%,14.71,0.581237254,
1223,0.44,-47.23,-,26.99,-,-,9459.61万,-24.9,11.99,2945.95万,-29.34,109.23,0,-,8.52,6668,1668,17.7166,7.4377,1.64%,67.32,0.400920974,
1225,0.58,-21.62,-,22.36,-,-100,1.13亿,-4.35,-24.72,3136.55万,-12.81,-73.47,0,-,5.86,6466.68,1616.68,13.9108,6.9842,2.17%,39.94,0.55983976,
1226,0.16,-65.22,-,10.33,58.66,-,1.67亿,-22.96,-3.57,1166.38万,-54.71,5.6,0,-,-16.22,7466.67,1866.67,6.4248,2.6144,1.51%,35.1,0.294301994,
1227,0.08,5.5,-,4.77,-12.66,2.14,20.00亿,11.98,13.27,5.41亿,10.45,39.57,0,-,184.32,569569.72,276837.26,0.9759,1.4193,1.68%,2.89,1.650519031,
1228,0.37,-43.08,-,16.08,64.6,-,5.28亿,-25.44,-12.08,3805.18万,-24.44,-21.98,0,-,-7.37,10386.46,5486.46,8.8022,5.9557,2.28%,35.04,0.45890411,
1229,0.16,-20,-,9.37,101.51,-,3908.31万,6.81,-43.39,1613.72万,10.15,-39.61,0,-,0.6,10000,2940.59,5.7127,2.4504,1.72%,30.26,0.309649703,
1230,0.29,-19.44,-,15.11,79.17,-,3.38亿,18.28,-0.18,3201.23万,5.61,-23.03,0,-,-19.66,11139.33,3945.84,10.4387,3.4357,1.90%,23.59,0.640525646,
1231,0.17,-57.5,-,9.25,48.29,-,1.60亿,-3.21,-3.3,1685.77万,-43.94,-50.41,0,-,-2.75,10000,2500,5.3332,2.5331,1.82%,20.83,0.444071051,
1234,0.13,-45.83,-,8.41,1.28,-,1.94亿,-9.04,41.53,1387.09万,-46.78,174.57,0,-,10.85,10666.67,2906.67,4.983,2.1709,1.55%,22.92,0.366928447,
1236,0.01,-25.64,-,1.83,-1.91,-,1.65亿,-21.39,-70.23,583.01万,-17.29,135.43,0,-,220.8,100777.78,32643.57,0.5938,0.0659,0.32%,11.72,0.156143345,
1238,0.21,-6.55,-,10.16,-,-,3.51亿,-9.41,28.62,2262.13万,25.89,351.12,0,-,3.72,11000,2750,5.0066,3.6381,2.02%,27.89,0.364288275,
1255,0.23,-22.43,-,9.41,-,-,9493.68万,10.24,27.8,1876.07万,3.44,40.08,0,-,-20.02,8000,2000,4.7122,3.3073,2.49%,33.07,0.284547929,
1256,0.13,-18.75,-,7.52,-,-,7032.95万,-8.09,-7.39,1864.79万,10.19,7.9,0,-,-9.25,14261.26,3565.35,4.8171,1.4761,1.74%,17.89,0.420346562,
1258,0.03,-25,-,3.1,9.79,-,2.02亿,16.32,36.75,2623.28万,-7.45,233.67,0,-,92.78,93333.33,46871.23,1.3345,0.7412,0.91%,7.98,0.388471178,
1259,0.24,-27.56,-,10.29,-,-,1.52亿,-17.84,-21.48,1729.28万,-3.27,67.93,0,-,-18.5,7358.89,1848.44,5.4162,3.6244,2.29%,28.28,0.363861386,
1260,0.1,-46.11,-,6.87,-,-,1.05亿,2.98,-16.35,933.20万,-41.35,-47.98,0,-,4.58,11500,2875,4.1609,1.5248,1.18%,20.81,0.330129745,
1266,0.06,-89.09,-,10.09,-28.56,-,1.13亿,-11.13,-6.47,586.68万,-82.46,-72.83,0,-,-22.25,10341.6,2955.96,7.0556,1.7996,0.57%,28.01,0.36022849,
1267,0.01,-8.22,-,5.42,-7.63,-,1.02亿,5.62,-58.5,520.04万,2.11,-79.37,0,-,-27.65,77967.14,36170.53,1.7972,2.333,0.35%,5.27,1.028462998,
1268,0.15,-48.28,-,8.82,53.37,-,1.69亿,-3.68,17.21,1607.92万,-31.99,58.81,0,-,1.98,10793.33,3519.41,5.5193,2.0685,1.69%,25.86,0.341067285,
1269,1.25,194.13,-,9.56,-,-,6.36亿,136.89,28.48,1.72亿,292.13,105.47,0,-,29.53,19239.59,4809.9,3.0745,5.129,13.10%,40.35,0.23692689,
1270,0.11,-13.47,-,12.31,45.8,-,4012.76万,98.39,-73.53,1220.66万,15.36,-83.16,0,-,-2.93,15653.81,7125.53,7.9183,2.8609,0.89%,81.6,0.150857843,
1278,0.18,-12.06,-,9.89,-,-,4.07亿,0.83,-4.7,1887.23万,-2.28,-36.41,0,-,11.76,12373.34,3093.34,5.8972,2.7901,1.54%,22.92,0.431500873,
1282,0.22,10,-,7.8,-,14.87,2.43亿,-5.99,14.06,1910.63万,11.4,65.51,0,-,13.37,11336,2780.86,2.7321,3.7935,2.88%,35.99,0.216726869,
1283,0.02,-97.14,-,27.59,-,-,7.40亿,-1.2,-3.13,146.46万,-96.54,-85.43,0,-,-12.69,8186.06,2000,17.473,9.9058,0.07%,43.3,0.637182448,
1286,0.29,13.34,-,5.33,-,-100,51.09亿,0.2,13.41,8.56亿,13.33,60.12,0,-,27.5,375000,72749.77,2.6482,1.2255,5.36%,8.38,0.636038186,
1287,0.12,-46.85,-,4.94,-,-100,82.48亿,-37.25,-30.98,7116.48万,-46.87,38.38,0,-,4.23,75990.01,18427.37,2.0304,1.7668,2.53%,21.38,0.231057063,
1288,0.17,30.77,-,11.63,3.88,-,1.98亿,37.51,-54.26,2730.34万,29.31,-12.28,0,-,-18.91,16000,5577.95,4.2919,5.0224,1.47%,16.68,0.697242206,
1289,0.27,4.88,-,8.51,4.76,-,98.60亿,-5.4,2.2,23.35亿,3.58,1069.68,0,-,30.25,838196.32,13333.6,1.7203,4.885,3.28%,20.25,0.420246914,
1296,0.17,2.29,-,14.86,-20.92,-,1.77亿,-18.41,-29.43,1858.24万,29.66,-24.75,0,-,9.11,10685.92,3764.07,5.2644,8.177,1.17%,22.86,0.650043745,
1298,0.04,-84,-,15.62,-,-,12.26亿,-36.57,3.66,430.35万,-75.95,129.35,0,-,16.31,13920,3480,9.8878,4.5397,0.29%,28.31,0.551748499,
1299,0.11,-54.17,-,6.66,-,-,1.87亿,5.8,7.42,2128.61万,-35.94,-35.1,0,-,-33.67,18757.97,4690,2.7091,2.7554,1.70%,16.36,0.407090465,
1300,0.02,-92.73,-,4.48,-,-,1.03亿,-59.33,159.39,382.54万,-90.32,113.08,0,-,208.88,24377.59,6094.4,2.5233,0.8699,0.35%,12.14,0.369028007,
1301,0.89,-50.28,-,20.89,-,-,9.52亿,-11.54,-23.53,2.30亿,-33.89,-5.15,0,-,-6.56,25977.46,6494.37,11.5928,7.8819,4.25%,44.31,0.47145114,
1308,0.8,-41.61,112.9,8.9,-8.31,-,49.72亿,-13.33,29.41,5.44亿,-21.03,15.25,0,-,-4.9,68020.39,7175.56,3.3366,4.2845,9.00%,24.11,0.369141435,
1309,-0.55,-,-,13.06,36.27,-,3.02亿,21.76,-15.19,-4378.44万,-,-,0,-,-49.64,11224.75,6707.56,9.2238,2.5239,-4.18%,89.51,0.145905485,
1311,0.9,-6.25,-,28.28,-,-100,8.26亿,12.39,27.93,1.07亿,4.5,29.83,0,-,3.1,18373.33,4593.33,15.6165,11.2862,2.67%,50.04,0.565147882,
1313,-0.07,-,-,3.88,1.46,-,9.57亿,-2.55,-37.03,-4854.11万,-,-,0,-,-12.08,70000,21809.2,0.9186,1.8256,-1.79%,9.27,0.418554477,
1314,0.23,-34.29,-,14.45,-,-,4.43亿,-27.97,-29.06,2569.36万,-25.93,-1.96,0,-,30.62,14199.91,3511.15,8.7174,4.4372,1.27%,36.71,0.393625715,
1316,0.32,1.71,-,13.35,62.36,-,1.62亿,31.93,3.51,2522.18万,34.09,31.64,0,-,-2.24,8000,2841.75,7.6653,4.4912,2.36%,35.25,0.378723404,
1317,0.1,0,-,10.05,-1.99,-,2.21亿,0.29,10.03,786.37万,-1.42,313.68,0,-,322.28,8004,2964,5.5425,3.0241,0.98%,35.41,0.28381813,
1318,0.08,-32.99,-,4.55,67.88,-,1.16亿,-2.84,-20,2193.53万,-10.65,19.86,0,-,-5.28,28266,7070,1.9928,1.1954,1.71%,13.13,0.346534653,
1319,0.13,-44.61,-,8.39,30.64,-,1.84亿,-19.46,-7.19,1801.73万,-25.06,33.76,0,-,1.44,14140,7967.6,5.0807,2.0515,1.52%,29.34,0.285957737,
1322,0,-89.4,-,4.91,-,-,11.10亿,-1.67,-50.61,311.11万,-88.15,-98.17,0,-,-0.69,97012.2,9660.95,2.1125,1.6778,0.07%,12.7,0.386614173,
1323,0.25,-26.47,-,11.15,49.15,-,9.57亿,-23.1,-42.31,1.01亿,-18.4,-64.3,0,-,4.37,40001,4001,7.1035,2.6688,2.27%,33.3,0.334834835,
1324,0.13,1400,-,4.66,-,-,1.02亿,32.47,-30.26,1298.90万,1025.58,-47.45,0,-,-16.32,13800,3380.46,1.2861,2.0681,2.69%,25.44,0.183176101,
1328,0.25,13.64,-,8.13,-,-100,3.43亿,10.65,13.84,3228.09万,13.54,8.69,0,-,-3.65,17217.38,4217.94,5.7905,0.978,2.31%,29.23,0.278138898,
1330,-0.08,-,-,4.86,-,-,5.24亿,-59.37,122.44,-1.08亿,-,-,0,-,133.79,137451.9,27490.38,2.8736,0.9539,-1.62%,7.27,0.668500688,
1331,0.03,-95.4,-,13.26,-,-,9.32亿,-29.26,-25.32,379.33万,-93.86,-82.88,0,-,-,16800,4200,7.9,4.0805,0.24%,18.24,0.726973684,
1332,0.68,-42.63,-,27.23,-,-,3.28亿,16.77,-11,5430.27万,-23.5,4.51,0,-,0.29,10800,2700,16.6505,8.9916,2.49%,32.59,0.835532372,
1333,0.43,-42.67,120.17,11.96,62.58,-,6.66亿,-0.97,21.39,5543.63万,-23.46,26.16,0,-,-1.38,12800,3200,6.886,3.634,3.62%,22.44,0.532976827,
1336,0.15,-44.44,-,9.43,80.56,-,9101.83万,-24.27,-53.87,1218.92万,-25.38,-46.18,0,-,11.79,8037.35,2855.73,5.226,2.9031,1.61%,26.74,0.352655198,
1337,0.16,45.45,-,3.08,-,-100,1.78亿,60.06,-0.34,6185.59万,49.62,-21.88,0,-,-3.06,42000,6000,1.059,0.9341,4.78%,28.82,0.106870229,
1338,0.07,133.33,-,6.51,-,-,10.75亿,23.31,-5.63,3505.14万,215.15,-5.17,0,-,-56.01,50173.08,12543.27,3.6119,1.8805,1.07%,13.84,0.470375723,
1339,0.15,-28.57,-,7.61,72.88,-,7.96亿,25.14,-13.94,3593.20万,-7.62,84.35,0,-,0.87,24915.7,6175,4.6253,1.9062,1.90%,23.18,0.328300259,
1360,0.1,11.11,-,3.77,-,-,1.60亿,20.98,-44.8,1474.90万,7.3,-,0,-,-,20400,4997.55,1.5084,1.1022,2.56%,17.46,0.215922108,
1366,0.14,1300,-,5.35,-,-100,3.91亿,29.7,-1.26,1852.38万,1426.9,14.12,0,-,12.4,16068,4035,2.3236,1.795,2.16%,14.84,0.360512129,
1367,0.49,2.08,-,9.69,-,-100,1.07亿,14.87,-9.54,2499.75万,2.57,-23.07,0,-,1.54,6800,1665.84,2.0451,5.7985,5.06%,46.88,0.206697952,
1368,0.37,-7.5,-,12.14,-,-100,2.07亿,-18.58,-32.39,3097.22万,-8,-30.12,0,-,17.28,11200,2800,8.2763,2.5543,2.28%,24.15,0.502691511,
1373,0.2,-35.48,-,8.42,-,-,1.45亿,-50.11,-2.65,1011.07万,-37.12,-10.49,0,-,-,6868.69,1717.17,2.8941,4.3679,2.33%,40.21,0.209400647,
1378,0.66,-28.26,140.24,8.77,18.35,-,5.39亿,-15.62,-2.97,6645.67万,-27.9,-0.49,0,-,-,13333.36,3149.06,0.0534,7.5468,7.58%,58.63,0.149582125,
1380,0.28,86.67,-,6.11,-,-,2.15亿,19.95,-23.19,2713.63万,91.17,-38.03,0,-,-,12888,3157.23,1.2407,3.4376,4.60%,34.78,0.175675676,
1696,0.1,5.54,-,4.24,2.84,-,21.01亿,-7.16,26.3,1.11亿,5.59,2431.33,0,-,1.9,114502.69,87532.2,0.4763,2.2812,2.29%,6.37,0.665620094,
1872,0.34,-24.44,-,22.12,3.48,-,36.94亿,-8.12,-10.1,8.50亿,-1.1,45.42,0,-,19.08,249907.47,174246.87,13.9438,7.0259,1.54%,15.77,1.402663285,
1896,-0.27,-,341.54,2.2,-35.11,-,31.02亿,-17.7,20.36,-4.19亿,-,-,0,-,-,152578.13,132078.13,4.2795,-3.2207,-12.50%,4.69,0.469083156,
1914,0.17,27.19,-,8.8,6,-,33.06亿,30.28,-14.06,1.85亿,27.24,52.45,0,-,9.13,106034.61,106023.93,2.8934,4.4321,1.98%,13.42,0.655737705,
1965,0.21,25.46,-,10.02,4.67,-,20.26亿,16.3,-27.16,13.49亿,23.57,10.93,0,-,41.84,618518.41,618518.41,4.6178,3.171,2.18%,9.39,1.067092652,
1979,0,-60,-,13.05,-4.94,-,150.09亿,-20.17,-83.95,2.72亿,-38.72,-79.19,0,-,-32.08,834110.71,773796.27,1.3197,7.8674,0.27%,10.98,1.18852459,
2001,0.21,-55.32,-,7.84,-11.87,-,36.12亿,-16.15,-10.23,6.43亿,-46.55,5.57,0,-,-6.46,309090.74,305453.32,1.1689,5.3275,2.66%,16.19,0.484249537,
2002,0,-98.17,-,3.29,2.04,-,8.34亿,-8.27,-15.95,195.70万,-98.09,-84.79,0,-,-58.59,312204.06,310020.45,0.9255,1.2822,0.02%,1.38,2.384057971,
2003,0.05,-44.44,-,2.86,-17.84,-,6.97亿,-3.6,-13.89,5364.87万,-17.74,270.87,0,-,10.98,103720.56,87230.11,0.5706,0.9814,1.81%,10.4,0.275,
2004,0.09,5.05,-,5.24,0.89,-,29.76亿,-12.46,-2.49,1.77亿,5.05,162.43,0,-,-8.58,197991.92,187959.65,2.6526,1.3762,1.71%,4.84,1.082644628,
2005,-0.02,-,335.52,0.59,-23.5,-,1.77亿,-49.76,-14.54,-4226.58万,-,-,0,-,-40.16,175242.49,175242.49,2.8032,-3.185,-4.11%,1.42,0.415492958,
2006,0.11,83.33,-,3.08,29.76,-,3.79亿,2.27,-63.85,4789.23万,89.76,-64.85,0,-,19.08,45516,45516,0.6044,1.1301,3.41%,15.46,0.199223803,
2007,0.19,50.16,-,5.9,8.49,-,8.81亿,37.46,-3.71,3.52亿,50.37,100.2,0,-,0.91,182436.67,157358.69,0.7784,3.7123,3.27%,23.55,0.250530786,
2008,0.14,-56.25,-,13.68,0.61,-,24.25亿,-28.55,-44.87,1.42亿,-57.15,-27.4,0,-,2.3,105218.51,97932.11,2.703,9.3254,0.99%,21.47,0.637168142,
2009,-0.81,-,-,5,-12.89,-,7.49亿,-20.66,-32.13,-2.99亿,-,-,0,-,-,38064.19,37214.08,1.6809,2.1382,-15.71%,12.38,0.403877221,
2010,0.06,19.05,-,6.25,13.27,-,82.13亿,-1.06,-5.73,1.76亿,15.79,26.59,0,-,19.84,280264.95,269980.17,2.4407,2.6859,1.01%,4.97,1.257545272,
2011,0.15,66.67,-,3.6,82,-,24.41亿,21.36,-15.47,1.63亿,95.2,18.49,0,-,17.55,105662.7,91497,2.8519,-0.4072,4.28%,12.16,0.296052632,
2012,0.11,266.67,100,3.3,5.42,-,2.85亿,-9.5,-13.26,4938.99万,249.07,542.11,0,-,-55.92,46762.55,46653.76,0.5773,1.5319,3.20%,5.52,0.597826087,
2014,0.13,8.33,-,3.45,9.4,-,7.85亿,8.45,-14.2,7795.52万,19.6,-30.88,0,-,5.37,61249.19,60085.92,0.8339,1.3405,3.69%,8.57,0.402567095,
2015,0.2,70.17,-,6.5,4.43,-,28.55亿,9.57,2.46,3.25亿,91.07,1502.46,0,-,101.63,162332.46,162332.46,4.5685,0.8711,3.08%,11.56,0.562283737,
2016,0.08,-2.21,-,5.74,-2.16,-,3.00亿,-25.47,13.48,6088.61万,-2.29,196.88,0,-,-34.45,80909.56,80909.56,0.167,4.0701,1.31%,6.63,0.865761689,
2017,0.08,321.69,-,3.48,7.27,-,3.50亿,28.42,-12.61,3557.61万,321.48,14.33,0,-,2.57,58043.19,57890.54,1.1377,1.1127,2.29%,10.59,0.328611898,
2019,0.05,-50,-,8.47,3.15,-,9.39亿,3.6,-15.28,6477.44万,-46.59,640.75,0,-,14.66,122602.48,85173.86,2.4411,3.9309,0.73%,13.39,0.632561613,
2020,0.18,12.5,-,6.15,13.89,-,9.60亿,10.32,-1.98,1.51亿,10.15,-20.63,0,-,-1.71,86102.91,65640.08,1.9978,2.7642,2.85%,14.36,0.428272981,
2021,0,-93.46,194.8,-0.43,-,-,2.05亿,-32.65,10.35,90.01万,-93.9,100.21,0,-,-1.09,68781.5,68779.25,0.7275,-2.2131,0.00%,2.21,-0.194570136,
2022,0.11,145.96,-,9.46,28.95,-,8.33亿,98.13,-84.54,5476.19万,145.75,-94.14,0,-,-17.65,51429.81,51413.66,0.5724,7.155,1.13%,8.7,1.087356322,
2023,0.02,-40.43,-,5.54,1.83,-,2.29亿,2.38,4.74,1272.55万,-39.07,907.59,0,-,68.13,75679.1,75679.1,2.5659,1.9883,0.30%,9.48,0.584388186,
2024,-0.01,-,238,1.73,-47.72,-,158.59亿,-18.14,0.14,-1.01亿,-,-,0,-,181.68,931003.97,788345.45,3.4872,-2.5672,-0.63%,1.88,0.920212766,
2025,0.49,40,-,13.04,9.17,-,17.83亿,18.1,35.66,2.20亿,38.39,93.58,0,-,-0.87,45687.03,45256.1,4.0128,6.2427,3.72%,51.01,0.25563615,
2026,0.04,-73.33,-,7.42,3.42,-,4.52亿,-41.15,-18.53,1612.53万,-74.89,371.76,0,-,-0.92,44551.54,42796.46,3.3646,2.6583,0.49%,8.95,0.829050279,
2027,0.07,1.4,-,54.46,-7.35,-,25.75亿,-12.4,25.3,9.41亿,1.34,42.76,0,-,11.73,1444219.97,1444219.97,0.0264,1.2233,5.26%,6.94,7.847262248,
2028,0.28,40,-,12.21,9.92,-100,21.72亿,24.88,-38.56,2.18亿,43.54,-49.75,0,-,-1.53,77020.6,59774.11,0.3753,9.8113,2.32%,48.6,0.251234568,
2029,0.13,116.67,-,8.3,3.88,-,9.09亿,2.75,-5.87,8897.43万,96.63,66.51,0,-,-18.44,75567,72370.27,2.488,4.0373,1.42%,6.13,1.353996737,
2030,0.03,-97.82,-,8.08,25.53,-,3.41亿,-89.86,-87.42,3656.14万,-97.82,-92.71,0,-,-16.77,140344.6,140344.6,0.513,5.6767,0.32%,9.66,0.836438923,
2031,0,31.58,-,1.12,1.47,-,2.06亿,-25.56,-15.3,552.10万,33.35,-81.95,0,-,-21.62,219939.57,193381.37,0.0181,0.0462,0.22%,3.22,0.347826087,
2032,0.54,-18.17,-,9.16,-9.36,-,49.63亿,-11.56,-4.38,4.38亿,-18.63,-42.29,0,-,-2.91,80670.87,80374.4,0.1712,7.7901,5.92%,50.02,0.183126749,
2033,0.1,295.15,323.87,4.5,3.65,-,1.80亿,331.73,199.55,5520.30万,295.22,339.98,0,-,1521.48,54949.07,54948.02,1.0161,2.0248,2.23%,8.06,0.558312655,
2034,0.38,-2.56,-,14.59,12.95,-,8.65亿,31.06,-15.29,1.64亿,-3,-9.85,0,-,34.16,42949.61,42666.73,6.5291,6.2701,2.62%,14.86,0.981830417,
2035,0.11,15.88,-,4,2.14,-,11.95亿,6.24,-23.37,9216.58万,15.86,167.02,0,-,15.59,84765.36,78052.3,0.0266,2.6368,2.72%,5.98,0.668896321,
2036,-0.17,-,-,3.38,-5.66,-,19.58亿,-2.37,-35.44,-1.77亿,-,-,0,-,-37.39,106885.16,105054.88,1.2163,1.1503,-4.90%,10.26,0.329434698,
2037,-0.08,-,212.54,5.27,-28.05,-,11.75亿,25.33,-46.46,-3665.60万,-,-,0,-,47.42,48388.36,48388.36,2.7691,1.0274,-1.44%,8.53,0.617819461,
2038,0.2,233.33,-,5.52,5.51,-,2.97亿,8.02,32.88,2.02亿,219.02,5797.61,0,-,-1.73,102735,85140.31,0.0427,3.8602,3.56%,11.39,0.484635645,
2039,-0.04,-,-,8.57,-22.83,-,2.20亿,-60.68,16.16,-1551.61万,-,-,0,-,169.97,42755.81,42755.81,2.3896,4.5315,-0.42%,14.24,0.601825843,
2040,0.07,-6.69,-,6.23,2.21,-,1.89亿,-4.38,-2.8,3489.93万,-5.38,216.24,0,-,53.36,49117.88,48396.68,3.1731,1.8615,1.14%,6.87,0.906841339,
2041,0.05,-57.13,-,3.82,5.11,-,2.63亿,-21.51,-65.51,4471.81万,-57.12,-68.26,0,-,3.94,88000,88000,0.0333,2.3801,1.33%,14.89,0.256548019,
2042,0.03,-66.67,161.54,3.67,-12.42,-,45.33亿,9.3,291.41,5197.21万,-65.37,107.98,0,-,126.18,170068.14,170068.14,1.6116,0.997,0.83%,3.72,0.98655914,
2043,0.1,-23.08,-,3.45,18,-,11.12亿,-31.65,-63.48,7453.21万,-21.47,32.87,0,-,25.03,83980.64,69177.68,0.8118,1.7563,2.56%,9.48,0.363924051,
2044,-0.04,-,350,1.86,-3.92,-,20.96亿,55.04,-24.68,-1.67亿,-,-,0,-,-18.01,391425.39,387244.87,0.5852,0.2676,-2.29%,6.1,0.304918033,
2045,0.02,100,-,4.47,5.21,-,10.86亿,-3.1,-21.96,715.08万,19.09,-18.6,0,-,-24.76,46838.39,46773.59,1.7715,1.8868,0.34%,15.69,0.284894837,
2046,0.14,41.01,-,5.99,7.04,-,6.18亿,-35.36,-13.49,7444.45万,40.96,111.5,0,-,37.01,52912.93,52434.91,3.0301,1.7831,2.35%,10.03,0.597208375,
2047,-0.06,-,201.66,1.76,-69.81,-,6.70亿,-3.57,-29.68,-8638.83万,-,-,0,-,278.54,151624.87,133881.24,1.4551,-1.319,-9.00%,2.7,0.651851852,
2048,0.25,-9.15,-,13.87,7.99,-,46.37亿,10.5,-17.85,2.00亿,1.59,4.4,0,-,3.9,81409.55,52195.2,4.7539,6.9721,1.77%,13.25,1.046792453,
2049,0.69,-21.41,-,12.1,-5.53,-,15.41亿,14.87,-29.44,5.84亿,10.03,-1.23,0,-,12.13,84961.84,84946.69,0.7643,9.9577,5.68%,74.12,0.163248786,
2050,0.17,30.77,-,3.81,17.84,-,56.79亿,18.22,-1.21,6.01亿,32.73,-36.42,0,-,-9.2,366360.97,362090.71,0.0836,2.4322,4.40%,26.01,0.146482122,
2051,0.09,50,-,8.93,2.27,-,27.89亿,9.08,17.5,1.16亿,56.27,2490.47,0,-,62.1,123740.89,123709.04,1.9104,5.3121,1.05%,8.75,1.020571429,
2052,-0.04,-,-,0.06,-42.64,-,1.53亿,123.3,-39.64,-3302.67万,-,-,0,-,-27.48,74595.97,74595.97,1.36,-2.4085,-68.39%,1.67,0.035928144,
2053,0.19,14.14,-,7.31,22.48,-,6.52亿,4.55,-22.87,1.78亿,38.16,105.42,0,-,21.53,92072.95,85221.72,4.1093,1.9707,2.64%,9.87,0.740628166,
