name,price
000001,10.48
000002,11.27
000004,16.53
000005,1.42
000006,4.41
000007,5.18
000008,2.37
000009,10.33
000010,3.99
000011,8.93
000012,5.43
000014,10.87
000016,4.24
000017,4.33
000019,7.25
000020,12.65
000021,16.76
000023,6.24
000025,16.17
000026,10.66
000027,6.18
000028,28.76
000029,11.72
000030,5.32
000031,3.39
000032,19.02
000034,30.23
000035,5.87
000036,3.79
000037,8.43
000039,6.68
000040,3.89
000042,6.39
000045,12.0
000046,1.44
000048,18.14
000049,32.07
000050,9.87
000055,4.58
000056,2.95
000058,7.2
000059,5.83
000060,4.67
000061,6.49
000062,11.46
000063,26.3
000065,11.34
000066,10.88
000068,3.48
000069,3.6
000070,8.37
000078,3.06
000088,4.9
000089,6.72
000090,5.05
000096,9.11
000099,7.94
000100,4.03
000151,11.11
000153,10.01
000155,11.6
000156,7.39
000157,6.43
000158,9.68
000159,6.72
000166,4.38
000301,10.53
000333,52.8
000338,14.1
000400,17.61
000401,7.01
000402,4.04
000403,23.86
000404,6.09
000407,3.63
000408,22.19
000409,7.49
000410,7.26
000411,11.7
000413,2.17
000415,2.33
000416,2.21
000417,4.78
000419,5.49
000420,3.04
000421,5.24
000422,10.18
000423,46.46
000425,5.68
000426,9.0
000428,3.97
000429,8.04
000430,6.67
000488,4.4
000498,5.82
000501,8.54
000503,10.99
000504,11.45
000505,7.14
000506,4.34
000507,5.29
000509,3.77
000510,5.04
000513,34.68
000514,4.3
000516,9.46
000517,2.67
000518,3.03
000519,14.3
000520,2.92
000521,5.94
000523,3.19
000524,8.5
000525,8.65
000526,36.49
000528,6.34
000529,6.39
000530,5.52
000531,6.82
000532,10.93
000533,4.26
000534,12.88
000536,3.69
000537,10.91
000538,51.01
000539,5.39
000541,7.31
000543,6.3
000544,7.11
000545,3.14
000546,7.19
000547,8.52
000548,5.18
000550,16.4
000551,9.89
000552,3.18
000553,7.61
000554,5.85
000555,12.05
000557,4.42
000558,2.75
000559,5.24
000560,2.39
000561,8.67
000563,3.04
000564,1.23
000565,5.9
000566,4.73
000567,11.74
000568,221.28
000570,5.68
000571,2.55
000572,4.35
000573,3.39
000576,9.15
000581,16.26
000582,7.4
000584,4.22
000586,14.63
000589,6.45
000590,9.01
000591,5.75
000592,2.42
000593,8.07
000595,5.05
000596,273.65
000597,5.42
000598,5.58
000599,4.45
000600,5.33
000601,4.34
000603,12.55
000605,6.11
000607,4.61
000608,2.86
000609,6.39
000610,13.66
000612,5.58
000615,3.89
000617,5.95
000619,6.27
000620,1.62
000622,4.51
000623,16.04
000625,15.29
000626,7.12
000627,3.05
000628,45.33
000629,3.44
000630,3.06
000631,3.45
000632,4.25
000633,7.63
000635,8.78
000636,15.41
000637,3.58
000638,6.41
000639,4.42
000650,6.82
000651,34.01
000652,4.03
000655,7.08
000656,1.58
000657,9.42
000659,2.73
000661,151.15
000663,8.91
000665,4.99
000668,11.67
000669,1.85
000670,7.21
000672,8.56
000676,8.67
000677,3.25
000678,6.44
000679,5.44
000680,5.27
000681,14.34
000682,7.51
000683,6.78
000685,7.31
000686,7.48
000688,10.54
000690,4.8
000691,4.7
000692,2.65
000695,11.28
000697,5.13
000698,4.23
000700,8.05
000701,5.87
000702,5.87
000703,7.22
000705,8.69
000707,7.46
000708,14.44
000709,2.18
000710,10.71
000711,1.92
000712,15.08
000713,8.14
000715,7.39
000716,6.23
000717,2.86
000718,2.69
000719,10.11
000720,4.36
000721,10.75
000722,9.94
000723,7.01
000725,3.85
000726,6.67
000727,2.69
000728,6.91
000729,10.35
000731,7.34
000733,66.05
000735,5.69
000736,11.13
000737,5.48
000738,20.81
000739,16.87
000750,3.58
000751,3.23
000752,7.46
000753,4.43
000755,4.57
000756,20.78
000757,4.88
000758,4.54
000759,4.39
000761,3.83
000762,24.42
000766,11.87
000767,3.05
000768,21.83
000776,14.8
000777,12.74
000778,3.96
000779,10.41
000782,5.3
000783,5.63
000785,3.49
000786,24.66
000788,6.78
000789,7.39
000790,5.39
000791,5.61
000792,16.76
000793,2.23
000795,6.35
000796,3.92
000797,3.09
000798,8.67
000799,75.96
000800,9.23
000801,8.32
000802,6.03
000803,6.08
000807,13.57
000809,3.37
000810,12.38
000811,12.57
000812,4.91
000813,3.71
000815,11.33
000816,3.06
000818,36.15
000819,18.96
000820,3.74
000821,14.5
000822,6.41
000823,9.49
000825,3.89
000826,3.25
000828,9.02
000829,9.17
000830,10.99
000831,29.8
000833,5.83
000836,2.69
000837,10.99
000838,3.48
000839,2.28
000848,8.44
000850,3.82
000851,5.99
000852,6.62
000856,8.73
000858,159.67
000859,5.45
000860,23.33
000861,2.01
000862,6.02
000863,3.54
000868,5.67
000869,27.48
000875,4.69
000876,10.08
000877,7.09
000878,10.88
000880,10.74
000881,7.31
000882,1.71
000883,4.27
000885,10.85
000886,4.25
000887,12.84
000888,9.4
000889,1.94
000890,4.66
000892,3.85
000893,28.7
000895,26.31
000897,2.23
000898,2.6
000899,8.73
000900,4.04
000901,9.75
000902,11.5
000903,2.47
000905,7.06
000906,7.18
000908,3.22
000909,5.8
000910,7.9
000911,9.01
000912,4.37
000913,13.48
000915,32.61
000917,6.1
000919,8.12
000920,9.01
000921,23.2
000922,9.95
000923,16.21
000925,7.99
000926,4.32
000927,2.65
000928,6.15
000929,9.88
000930,6.88
000931,6.1
000932,5.66
000933,15.85
000935,15.27
000936,8.28
000937,6.35
000938,19.81
000948,16.25
000949,3.32
000950,5.18
000951,14.65
000952,7.99
000953,5.76
000955,4.9
000957,10.24
000958,4.15
000959,3.73
000960,14.12
000961,1.45
000962,12.47
000963,42.18
000965,3.36
000966,4.63
000967,4.85
000968,8.18
000969,9.34
000970,10.61
000971,1.95
000972,3.7
000973,4.76
000975,13.19
000976,2.03
000977,30.17
000978,6.79
000980,3.61
000981,1.66
000982,1.58
000983,8.63
000985,16.16
000987,6.47
000988,28.61
000989,10.58
000990,8.32
000993,9.44
000995,15.71
000996,5.05
000997,17.33
000998,16.13
000999,43.17
001201,22.63
001202,17.03
001203,10.88
001205,17.5
001206,15.66
001207,17.07
001208,9.12
001209,16.97
001210,20.36
001211,23.9
001212,24.08
001213,4.18
001215,57.05
001216,12.76
001217,11.77
001218,21.82
001219,19.85
001222,14.64
001223,68.92
001225,40.3
001226,34.9
001227,2.88
001228,34.62
001229,30.72
001230,23.73
001231,21.14
001234,23.58
